Epoch,Training loss,Validation loss,accuracy
1,1.2018448230743408,0.4772825675010681,0.8642
2,0.3289480852921804,0.2434896164894104,0.9294
3,0.18266754887898762,0.17490573647022248,0.9498
4,0.12459627417723337,0.1465540034532547,0.9574
5,0.09103602202335993,0.13139456124305726,0.9617
